Entry ID,Title,Image File Name,Image File Extension,Downloads
21010,"Main Bronchus, Male",3d-vh-m-main-bronchus_NIH3D.stl,.stl,1
21010,"Main Bronchus, Male",3d-vh-m-main-bronchus_NIH3D.wrl,.wrl,0
21010,"Main Bronchus, Male",3d-vh-m-main-bronchus_NIH3D.x3d,.x3d,0
21010,"Main Bronchus, Male",3d-vh-m-main-bronchus_thumb_NIH3D.jpg,.jpg,0
21010,"Main Bronchus, Male",3d-vh-m-main-bronchus_thumb_NIH3D.png,.png,0
21011,"Palatine Tonsil, Male, Left",3d-vh-m-palatine-tonsil-l.glb,.glb,0
21011,"Palatine Tonsil, Male, Left",3d-vh-m-palatine-tonsil-l_NIH3D.stl,.stl,1
21011,"Palatine Tonsil, Male, Left",3d-vh-m-palatine-tonsil-l_NIH3D.wrl,.wrl,0
21011,"Palatine Tonsil, Male, Left",3d-vh-m-palatine-tonsil-l_NIH3D.x3d,.x3d,0
21011,"Palatine Tonsil, Male, Left",3d-vh-m-palatine-tonsil-l_thumb_NIH3D.jpg,.jpg,0
21011,"Palatine Tonsil, Male, Left",3d-vh-m-palatine-tonsil-l_thumb_NIH3D.png,.png,0
21012,"Palatine Tonsil, Male, Right",3d-vh-m-palatine-tonsil-r.glb,.glb,0
21012,"Palatine Tonsil, Male, Right",3d-vh-m-palatine-tonsil-r_NIH3D.stl,.stl,0
21012,"Palatine Tonsil, Male, Right",3d-vh-m-palatine-tonsil-r_NIH3D.wrl,.wrl,0
21012,"Palatine Tonsil, Male, Right",3d-vh-m-palatine-tonsil-r_NIH3D.x3d,.x3d,0
21012,"Palatine Tonsil, Male, Right",3d-vh-m-palatine-tonsil-r_thumb_NIH3D.jpg,.jpg,0
21012,"Palatine Tonsil, Male, Right",3d-vh-m-palatine-tonsil-r_thumb_NIH3D.png,.png,0
